date,player,game_number,tank_type,tier,tank,outcome,survived,map,premium ,premium_tank,platoon,max_tier,opponent_tier_kill,damage_dealt,damage_spotting,damage_blocked,start_position,experience_earned,bonds_earned,medals_received,platoon_awards,mastery_badge,kills,credits
18/10/2017,gabi,1,medium,8,FV4202,win,1,Arctic,1,1,1,8,0,2338,1216,710,N,1523,0,,,M2,1,
18/10/2017,gabi,2,medium,7,T-43,win,1,Redshire,1,0,1,9,0,873,775,950,N,1169,0,,,M2,1,
18/10/2017,gabi,3,heavy,10,T110E5,win,0,Lakeville,1,0,1,10,10,4233,1736,2700,S,1281,2,,,M3,0,
18/10/2017,gabi,4,tank destroyer,7,T25/2,lost,0,Murovanka,1,0,1,8,8,0,0,300,N,103,0,,,0,0,
18/10/2017,gabi,5,tank destroyer,7,T25/2,win,0,El Halluf,1,0,1,9,9,583,0,0,N,698,0,,,M3,1,
18/10/2017,gabi,6,medium,9,M46 Patton,lost,0,Pilsen,1,0,1,10,8,3148,574,490,N,708,0,,,0,0,
18/10/2017,gabi,7,tank destroyer,10,Jp Pz E100,lost,0,Nebelburg,1,0,1,10,10,1178,0,390,N,273,0,,,0,0,
18/10/2017,gabi,8,medium,10,M48 Patton,win,1,Kharkov,1,0,1,10,0,3105,0,1140,S,1163,2,,,M3,1,
18/10/2017,gabi,9,tank destroyer,8,Rhm-B WT,lost,0,Steppes,1,0,1,10,9,507,102,0,S,268,0,,,0,0,
18/10/2017,gabi,10,heavy,10,T110E5,lost,0,Nebelburg,1,0,1,10,10,1176,263,320,N,475,0,,,0,0,
18/10/2017,gabi,11,light,9,AMX 13 90,win,0,Mines,1,0,1,10,10,238,460,0,N,821,3,Scout,,0,0,
18/10/2017,gabi,12,medium,8,FV4202,win,1,Ensk,1,1,1,10,0,1644,1594,300,N,1608,0,,,M1,1,
18/10/2017,andrei,1,medium,8,FV4202,win,0,Arctic,1,1,1,8,8,1640,149,0,N,1149,0,,,M3,2,
18/10/2017,andrei,2,SPG,7,GW Panther,win,1,Redshire,1,0,1,9,0,1190,169,0,N,1251,0,,,M2,5,
18/10/2017,andrei,3,medium,10,M48 Patton,win,1,Lakeville,1,0,1,10,0,2062,245,0,S,821,0,,,0,1,
18/10/2017,andrei,4,SPG,7,GW Panther,loss,0,Malinovka,1,0,1,8,7,691,0,0,N,361,0,,,0,2,
18/10/2017,andrei,5,SPG,7,GW Panther,win,1,El Halluf,1,0,1,9,0,447,874,0,N,897,0,,,M3,0,
18/10/2017,andrei,6,medium,9,T54E1,loss,0,Pilsen,1,0,1,10,8,1958,132,240,N,609,0,,,0,3,
18/10/2017,andrei,7,tank destroyer,10,Grille15,loss,0,Nebelburg,1,0,1,10,10,2853,0,0,N,404,0,,,0,1,
18/10/2017,andrei,8,medium,10,M48 Patton,win,0,Kharkov,1,0,1,10,0,3804,0,750,S,1742,0,,,M3,4,
18/10/2017,andrei,9,tank destroyer,8,Udes03,loss,0,Steppes,1,0,1,10,9,376,155,0,S,292,0,,,0,0,
18/10/2017,andrei,10,heavy,10,IS7,loss,0,Nebelburg,1,0,1,10,10,5253,1830,2340,N,830,5,,,0,1,
18/10/2017,andrei,11,light,9,T54Light,win,0,Mines,1,0,1,10,10,2137,518,350,N,1367,0,,,M2,3,
18/10/2017,andrei,12,medium,8,FV4202,win,1,Ensk,1,1,1,10,0,2225,462,390,N,1439,0,,,M2,1,
19/10/2017,gabi,1,heavy,10,T110E5,win,0,Nebelburg,1,0,0,10,10,2018,1372,750,S,1211,8,,,M3,0,
19/10/2017,gabi,2,medium,7,T-43,win,1,Stalingrad,1,0,0,9,0,327,173,0,N,953,0,,,M3,1,
19/10/2017,gabi,3,tank destroyer,7,T25/2,loss,0,Westfield,1,0,0,8,7,476,82,0,S,239,0,,,0,0,
19/10/2017,gabi,4,heavy,8,T34,loss,0,Swamp,1,1,0,10,8,0,790,193,N,291,0,,,0,0,
19/10/2017,gabi,5,SPG,8,M40/M43,win,1,Paris,1,0,0,10,0,452,0,0,S,786,0,,,0,1,
19/10/2017,gabi,6,heavy,10,T110E5,loss,0,Ruinberg,1,0,0,10,10,1244,209,0,S,300,0,,,0,0,
20/10/2017,gabi,1,tank destroyer,8,ISU-152,win,1,Lakeville,1,0,0,9,0,2806,0,0,N,1278,0,,,M2,3,
20/10/2017,gabi,2,medium,8,FV4202,win,1,Abbey,1,0,1,9,0,1190,274,240,N,876,0,,,M3,0,
20/10/2017,gabi,3,medium,7,T-43,loss,0,Murovanka,1,0,0,9,8,0,0,0,N,83,0,,,0,0,
20/10/2017,gabi,4,tank destroyer,5,Archer,loss,0,Westfield,1,0,0,5,5,276,0,0,S,143,0,,,0,0,
20/10/2017,gabi,5,tank destroyer,7,T25/2,loss,0,Highway,1,0,0,8,7,653,0,0,S,305,0,,,0,1,
20/10/2017,gabi,6,tank destroyer,5,Archer,loss,0,El Halluf,1,0,0,7,6,160,0,0,S,119,0,,,0,0,
21/10/2017,gabi,1,light,9,AMX 13 90,win,1,Redshire,1,0,0,10,0,1932,3440,0,S,1607,4,Scout,,M2,4,35633
21/10/2017,gabi,2,medium,8,FV4202,loss,0,Mountain Pass,1,1,0,8,8,890,0,390,S,267,0,,,0,0,18065
21/10/2017,gabi,3,light,9,AMX 13 90,win,0,Fjords,1,0,0,10,10,1393,1107,0,N,1107,0,,,M3,1,14588
21/10/2017,gabi,4,medium,7,T-43,win,1,Malinovka,1,0,0,7,0,1590,220,892,S,1110,0,,,M3,1,29289
21/10/2017,gabi,5,heavy,10,T110E5,draw,0,Nebelburg,1,0,0,10,10,1456,1264,400,S,615,4,,,,1,-7528
21/10/2017,gabi,6,tank destroyer,7,T25/2,win,0,Ruinberg,1,0,0,9,7,213,16,0,N,603,0,,,0,0,4244
21/10/2017,gabi,7,tank destroyer,8,Rhm-B WT,win,1,Karelia,1,0,0,8,0,2218,0,0,S,1089,0,,,M3,3,20740
21/10/2017,gabi,8,tank destroyer,5,Archer,loss,0,Swamp,1,0,0,6,5,317,993,0,S,446,0,,,M3,2,11264
21/10/2017,gabi,9,SPG,8,M40/M43,loss,0,Stalingrad,1,0,0,9,8,192,154,0,S,233,0,,,0,0,-7033
21/10/2017,gabi,10,heavy,10,T110E5,win,0,Nebelburg,1,0,0,10,10,2469,1513,0,S,1211,8,,,M3,0,-637
21/10/2017,gabi,11,medium,9,M46 Patton,loss,0,Redshire,1,0,0,10,10,2475,1871,0,N,717,0,,,0,1,11695
21/10/2017,gabi,12,tank destroyer,10,Jp Pz E100,win,1,Abbey,1,0,0,10,0,3297,0,0,N,1005,0,,,M3,2,23455
21/10/2017,gabi,13,heavy,8,T34,win,1,El Halluf,1,1,0,9,0,1913,0,870,S,1206,0,,,M2,1,39823
21/10/2017,gabi,14,medium,6,Strv 74,loss,0,Malinovka,1,0,0,7,6,175,191,240,S,189,0,,,0,0,3197
21/10/2017,gabi,15,medium,10,M48 Patton,loss,0,Ruinberg,1,0,0,10,10,1725,2066,800,N,488,0,,,0,1,-1628
21/10/2017,gabi,16,medium,8,T-54 mod.1,win,0,Sacred Valley,1,1,0,10,10,1451,1266,320,S,1350,0,,,M2,1,60798
21/10/2017,gabi,17,tank destroyer,9,Jagtiger,win,1,Fishermans Bay,1,0,0,10,0,2252,1262,0,S,1320,0,,,M2,2,21224
21/10/2017,gabi,18,medium,6,Strv 74,win,1,Lakeville,1,0,0,6,6,1111,98,0,N,939,0,,,M2,1,18636
21/10/2017,gabi,19,medium,10,M48 Patton,loss,1,Airfield,1,0,0,10,10,1140,338,0,N,305,0,,,0,0,-9666
21/10/2017,gabi,20,medium,8,FV4202,loss,0,Fishermans Bay,1,1,0,10,10,0,0,0,S,94,0,,,0,0,8969
21/10/2017,gabi,21,SPG,9,M53/M55,loss,0,Prokhorovka,1,0,0,9,8,1321,0,0,S,308,0,,,0,1,-6225
21/10/2017,gabi,22,SPG,9,M53/M55,loss,0,Mountain Pass,1,0,0,9,8,591,1019,0,S,299,0,,,0,0,-5007
21/10/2017,gabi,23,medium,8,T-54 mod.1,loss,0,Pilsen,1,1,0,8,8,796,0,1600,S,386,0,,,0,1,20720
22/10/2017,gabi,1,medium,8,T-54 mod.1,win,0,Live Oaks,1,1,1,8,8,805,219,550,N,864,0,,,0,0,31802
22/10/2017,gabi,2,medium,6,Cromwell B,loss,0,Steppes,1,1,1,6,5,866,0,0,N,440,0,,,0,2,19910
22/10/2017,gabi,3,medium,8,T-54 mod.1,win,0,Sacred Valley,1,1,1,9,9,211,0,440,S,725,0,,,0,0,20657
22/10/2017,gabi,4,medium,6,Cromwell B,loss,0,Mines,1,1,1,8,6,147,753,0,S,305,0,,,0,0,15567
22/10/2017,gabi,5,medium,8,FV4202,loss,0,Himmelsdorf,1,1,1,10,9,1312,421,490,S,452,0,,,0,0,25578
22/10/2017,gabi,6,medium,8,T25 Pilot 1,loss,0,Airfield,1,1,1,8,8,1028,133,170,S,440,0,,,0,0,25296
22/10/2017,gabi,7,medium,8,T-54 mod.1,win,0,Lakeville,1,1,1,10,9,984,62,1200,N,957,0,,,M3,0,29269
22/10/2017,gabi,8,heavy,8,T34,win,1,Erlenberg,1,1,1,10,0,1907,442,0,S,1191,0,,,M2,1,48996
22/10/2017,gabi,9,medium,6,Cromwell B,loss,0,Fiery Salient,1,1,1,7,6,146,214,0,S,134,0,,,0,0,9060
22/10/2017,gabi,10,medium,8,T25 Pilot 1,loss,0,Sand River,1,1,1,10,9,710,694,240,N,471,3,,,0,0,35652
22/10/2017,gabi,11,heavy,8,T34,win,1,Redshire,1,1,1,9,0,2839,134,240,N,1374,0,,,M2,0,45848
22/10/2017,gabi,12,medium,8,T-54 mod.1,win,1,El Halluf,1,1,1,10,0,1761,1210,0,S,1464,1,,,M2,0,66325
22/10/2017,gabi,13,medium,8,T25 Pilot 1,win,0,Malinovka,1,1,1,10,8,1031,243,800,N,821,0,,,0,0,32714
22/10/2017,gabi,14,medium,8,T-54 mod.1,win,0,Murovanka,1,1,1,9,9,237,0,0,N,569,0,,,0,0,19361
22/10/2017,gabi,15,heavy,8,T34,win,0,Fishermans Bay,1,1,1,8,8,410,122,390,N,683,0,,,0,0,24437
22/10/2017,gabi,16,medium,8,FV4202,loss,0,Pilsen,1,1,1,9,9,971,214,2610,N,621,0,,,0,0,11617
22/10/2017,gabi,17,medium,8,T25 Pilot 1,win,0,Mines,1,1,1,9,9,475,403,0,N,890,0,,,0,0,16386
22/10/2017,andrei,1,medium,8,T-54 mod.1,win,0,Live Oaks,1,1,1,8,8,1462,454,0,N,1179,0,,,M3,1,52880
22/10/2017,andrei,2,medium,6,Cromwell B,loss,0,Steppes,1,1,1,6,6,534,0,0,N,430,0,,,0,1,14610
22/10/2017,andrei,3,medium,8,T-54 mod.1,win,0,Sacred Valley,1,1,1,9,8,1344,0,690,S,1083,0,,,0,1,14178
22/10/2017,andrei,4,medium,6,Cromwell B,loss,0,Mines,1,1,1,8,7,1569,233,200,S,669,0,,,0,1,21775
22/10/2017,andrei,5,tank destroyer,8,Skorpion G,loss,0,Himmelsdorf ,1,1,1,10,8,2891,420,0,S,610,0,,,0,0,47524
22/10/2017,andrei,6,tank destroyer,8,Skorpion G,loss,0,Airfield,1,1,1,8,8,4029,1112,0,S,1074,0,,,M3,2,79548
22/10/2017,andrei,7,medium,8,T-54 mod.1,win,1,Lakeville,1,1,1,10,0,1962,1613,0,N,1575,0,,,M2,1,44128
22/10/2017,andrei,8,tank destroyer,8,Skorpion G,win,1,Erlenberg,1,1,1,10,0,1543,1328,0,S,1278,0,,,M3,2,45859
22/10/2017,andrei,9,medium,6,T-34-85M,loss,0,Fiery Salient,1,1,1,7,7,384,0,0,S,105,0,,,0,0,9183
22/10/2017,andrei,10,medium,8,T25 pilot 1,loss,0,Sand River,1,1,1,10,8,1738,0,0,N,560,0,,,0,1,10550
22/10/2017,andrei,11,heavy,8,T34,win,1,Redshire,1,1,1,9,0,2303,153,1240,N,1634,0,,,M1,3,36462
22/10/2017,andrei,12,tank destroyer,8,Skorpion G,win,0,El Halluf,1,1,1,10,0,1633,185,0,S,1388,0,,,M2,4,48023
22/10/2017,andrei,13,tank destroyer,8,Skorpion G,win,0,Malinovka,1,1,1,10,10,736,1635,0,N,905,0,,,0,1,36084
22/10/2017,andrei,14,medium,8,FV4202,win,0,Murovanka,1,1,1,9,9,230,115,0,N,624,0,,,0,0,20061
22/10/2017,andrei,15,heavy,8,T34,win,0,Fishermans Bay,1,1,1,8,8,1466,0,780,N,1308,0,,,M2,1,63004
22/10/2017,andrei,16,tank destroyer,8,Skorpion G,loss,0,Pilsen,1,1,1,10,8,0,133,0,N,163,0,,,0,0,-2090
22/10/2017,andrei,17,medium,8,T25 pilot 1,won,1,Mines,1,1,1,9,0,1205,1672,0,N,1386,0,,,M2,2,13153
